Provider ID,FRN,holding_company
240058,12609,Mid-Hudson Cablevision
240068,12781,"Neu Ventures, Inc."
131087,13722,"Rainbow Telecommunications Association, Inc."
240058,14936,Mid-Hudson Cablevision
131060,17640,"TPC ACC Acquisition, LLC"
240025,17756,"Community Antenna System, Inc."
430166,1513068,"United Electric Cooperative Services, Inc."
131161,1514090,"Waimana Enterprises, Inc."
130254,1520980,Cincinnati Bell Inc.
130171,1537133,Bryan Family Inc.
130189,1543347,Calaveras Communications Company
131057,1545748,"Ponderosa Communications, Inc."
131173,1546068,Sebastian Enterprises
131416,1546746,"Varcomm Holdings, Inc."
131441,1549914,Volcano Communications Company
131195,1551241,"Siskiyou Communications, Inc."
130784,1551423,"Martell Enterprises, Inc."
130077,1551530,AT&T Inc.
131173,1551837,Sebastian Enterprises
130077,1552173,AT&T Inc.
130206,1553585,Day Management Corporation
131130,1559798,Roome Telecommunications Inc.
131259,1562388,Stayton Cooperative Telephone Company
140020,1564186,PUD No. 1 of Chelan County
300112,1564293,Okanogan County PUD No. 1
131046,1565316,Pioneer Telephone Cooperative (OR)
130104,1565829,Beaver Creek Cooperative Telephone Company
430130,1566165,Hood River Electric Cooperative
190126,1566306,Douglas Electric Cooperative Inc.
131043,1566983,"Pinpoint Holdings, Inc."
130534,1568880,GCI Holdings LLC
150307,1569466,"Remote Control, Inc."
130067,1570936,"Arctic Slope Telephone Association Cooperative, Inc."
130352,1571181,"Cordova Telephone Cooperative, Inc."
130534,1571561,GCI Holdings LLC
130349,1572932,Copper Valley Telephone Cooperative
130791,1573427,"Matanuska Telecom Association, Inc."
130303,1576628,Coast Communications Co. Inc.
130335,1581297,"Fidium Holdings, LLC"
131475,1583194,Wahkiakum West Inc.
130651,1583350,Western Elite Incorporated Services
520000,1583962,"Okanogan County Electric Cooperative, Inc."
240031,1584267,Davis Communications Inc.
131047,1584275,Pioneer Telephone Holding Company
130252,1585397,"Churchill County, State of Nevada"
130132,1587625,"Blackfoot Telephone Cooperative, Inc."
130580,1590595,Gunnison Telephone Company
130206,1596667,Day Management Corporation
130743,1596717,"Lincoln Communications, Inc."
260069,1598457,Spanish Fork City
520001,1598598,"City of Salem, Utah"
131387,1601079,"UBTA-UBET Communications, Inc."
131357,1601996,Tohono O'Odham Utility Authority
131411,1603042,"Valley Telephone Cooperative, Inc. (AZ/NM)"
300132,1604404,Royce's Electronics Inc.
131219,1607175,"South Central Utah Telephone Association, Inc."
130886,1607225,"NE Colorado Cellular, Inc."
130453,1607340,Emery Telcom
131131,1607829,"Roosevelt County Rural Telephone Cooperative, Inc."
130458,1607845,"ENMR Telephone Cooperative, Inc."
130692,1611334,"Kentec Communications, Inc."
131190,1615095,"Horizon Communications, Inc."
300192,1615665,"USConnect Holdings, Inc."
131049,1615889,"Plains Cooperative Telephone Association, Inc."
131481,1616192,Wiggins Telephone Association
131362,1616200,"Townes Telecommunications, Inc."
370162,1616754,"San Luis Valley Rural Electric Cooperative, Inc."
130708,1616937,La Jicarita Rural Telephone Cooperative
130728,1618008,"Leaco Rural Telephone Cooperative, Inc."
190084,1621127,City of Glenwood Springs
130378,1623321,Custer Telephone Cooperative Inc.
131075,1623818,"Project Mutual Telephone Cooperative Association, Inc."
250028,1628288,"Collins Communications, LLC"
300125,1629294,"Richon, Inc."
131090,1629781,"Range Telephone Cooperative, Inc."
360114,1630201,Union Holding Corp.
131190,1630532,"Horizon Communications, Inc."
220073,1631084,Mountain West Technologies Corporation
300182,1631134,Bridger Valley Electric Association Inc.
131367,1637222,"Triangle Telephone Cooperative Assn., Inc."
131129,1643006,"CommunityTel, Inc."
131476,1644798,"Wes-Tex Telephone Cooperative, Inc."
131090,1646140,"Range Telephone Cooperative, Inc."
130132,1646165,"Blackfoot Telephone Cooperative, Inc."
130002,1646454,"3 Rivers Telephone Cooperative, Inc."
130890,1646470,"Nemont Telephone Cooperative, Inc."
130826,1646587,"Mid-Rivers Telephone Cooperative, Inc."
130744,1647734,"Lincoln Telephone Company, Inc."
131231,1648039,Southern Montana Telephone Company
130327,1649078,"Community Telephone Co., Inc."
131057,1649847,"Ponderosa Communications, Inc."
131512,1650233,"XIT Rural Telephone Cooperative, Inc."
